method,n,size,repeats,mmae,std,prec,rec,f1,acc
pearson,93,100,10,3.6547009980113274,0.1954207157254133,0.6271186440677966,0.15879828326180256,0.2534246575342466,0.782
pearson,10,100,10,3.8405293436146217,0.2312286986998537,0.5263157894736842,0.23076923076923078,0.32085561497326204,0.746
pearson,75,100,10,3.632293281571262,0.2721884926898863,0.6666666666666666,0.15441176470588236,0.2507462686567164,0.749
pearson,85,100,10,3.686835361945326,0.2564353421358643,0.5964912280701754,0.12099644128113879,0.20118343195266272,0.73
pearson,100,100,10,3.4572062060452886,0.2361953020849621,0.8103448275862069,0.1709090909090909,0.2822822822822823,0.761
pearson,9,100,10,3.7640351769396974,0.36737753906000964,0.5390625,0.28870292887029286,0.37602179836512256,0.771
pearson,48,100,10,3.7248946981706865,0.27609271844770206,0.6461538461538462,0.15613382899628253,0.251497005988024,0.75
pearson,82,100,10,3.685133627608014,0.29805125349097056,0.5964912280701754,0.13333333333333333,0.21794871794871795,0.756
pearson,72,100,10,3.6477711979773644,0.2535519129972364,0.6229508196721312,0.14615384615384616,0.2367601246105919,0.755
pearson,17,100,10,3.735467036259012,0.23696763073920868,0.5148514851485149,0.20233463035019456,0.2905027932960894,0.746
pearson,94,100,10,3.664656922284577,0.34202156176479387,0.5208333333333334,0.10330578512396695,0.1724137931034483,0.76
pearson,64,100,10,3.7316931953214976,0.2743208548957769,0.5352112676056338,0.1391941391941392,0.22093023255813957,0.732
pearson,5,100,10,3.993691394838783,0.2260781695758698,0.48299319727891155,0.26296296296296295,0.3405275779376499,0.725
pearson,89,100,10,3.6425694022495927,0.24583227957750156,0.5932203389830508,0.12544802867383512,0.20710059171597633,0.732
pearson,79,100,10,3.629609860339471,0.20097042129877463,0.5882352941176471,0.15873015873015872,0.25,0.76
pearson,30,100,10,3.760407576189138,0.23061801470206325,0.6931818181818182,0.22676579925650558,0.34173669467787116,0.765
pearson,43,100,10,3.638249765481343,0.15907386911890029,0.55,0.16793893129770993,0.2573099415204678,0.746
pearson,26,100,10,3.7274006625019447,0.36345211911552866,0.6,0.19672131147540983,0.2962962962962963,0.772
pearson,55,100,10,3.5015340422454515,0.2039186616082262,0.6,0.11811023622047244,0.19736842105263158,0.756
