method,n,size,repeats,adjusted,mmae,std,prec,rec,f1,acc
cosine,88,100,10,adjusted,3.279228122863701,0.3219444998751268,0.8076923076923077,0.24045801526717558,0.37058823529411766,0.786
cosine,95,100,10,adjusted,3.2775769324744326,0.20236103298642047,0.8082191780821918,0.24380165289256198,0.37460317460317455,0.803
cosine,77,100,10,adjusted,3.1253904821012943,0.18438878354353677,0.8351648351648352,0.2889733840304182,0.4293785310734463,0.798
pearson,55,100,10,adjusted,3.132961105050053,0.21743187730707314,0.7545454545454545,0.3143939393939394,0.4438502673796792,0.792
cosine,22,100,10,adjusted,3.0763486845533903,0.1717095832401148,0.7169811320754716,0.30522088353413657,0.428169014084507,0.797
pearson,48,100,10,adjusted,3.0328314963343166,0.29567026642193306,0.7383177570093458,0.32510288065843623,0.45142857142857146,0.808
pearson,41,100,10,adjusted,3.1454129728729434,0.22570594759282753,0.780952380952381,0.29285714285714287,0.425974025974026,0.779
cosine,36,100,10,adjusted,3.1207571143971364,0.20149793928937637,0.810126582278481,0.2490272373540856,0.380952380952381,0.792
cosine,63,100,10,adjusted,3.108017824202112,0.37562429326415586,0.7717391304347826,0.27099236641221375,0.4011299435028249,0.788
pearson,14,100,10,adjusted,3.3371015964961863,0.20559297774190569,0.7565217391304347,0.3283018867924528,0.4578947368421052,0.794
cosine,81,100,10,adjusted,3.0693842860363607,0.27204279051673036,0.8214285714285714,0.27710843373493976,0.4144144144144144,0.805
pearson,9,100,10,adjusted,3.1800825299026605,0.19674183106337204,0.7424242424242424,0.35251798561151076,0.4780487804878048,0.786
pearson,13,100,10,adjusted,3.373891806607843,0.25039803181297016,0.7040816326530612,0.26640926640926643,0.3865546218487395,0.781
cosine,64,100,10,adjusted,3.2758612172385897,0.2739925151603937,0.7916666666666666,0.2846441947565543,0.418732782369146,0.789
cosine,79,100,10,adjusted,3.119082216075759,0.28295015821397385,0.7010309278350515,0.27309236947791166,0.39306358381502887,0.79
pearson,28,100,10,nonadjusted,3.6726108620798725,0.17594722031285923,0.6122448979591837,0.24,0.3448275862068965,0.772
cosine,31,100,10,adjusted,3.3311527082879318,0.2747806019904852,0.7272727272727273,0.2379182156133829,0.3585434173669467,0.771
pearson,46,100,10,adjusted,3.1240741962750005,0.20267675179796132,0.7169811320754716,0.27636363636363637,0.3989501312335958,0.771
cosine,38,100,10,nonadjusted,3.4429024172732516,0.31019950834165005,0.45739910313901344,0.4473684210526316,0.4523281596452328,0.753
pearson,77,100,10,nonadjusted,3.7029085759203277,0.1683259258611673,0.6621621621621622,0.196,0.30246913580246915,0.774
cosine,71,100,10,nonadjusted,3.426119256716878,0.19964053795030848,0.5060728744939271,0.5252100840336135,0.5154639175257733,0.765
pearson,87,100,10,nonadjusted,3.592956097081559,0.19429212021340997,0.7058823529411765,0.18250950570342206,0.2900302114803625,0.765
cosine,81,100,10,nonadjusted,3.395291697163409,0.36848985588644706,0.5733333333333334,0.5222672064777328,0.5466101694915255,0.786
cosine,67,100,10,nonadjusted,3.4132091437539627,0.20322238674407964,0.5635593220338984,0.5236220472440944,0.5428571428571428,0.776
pearson,61,100,10,nonadjusted,3.7208931874086253,0.2487190513641823,0.5862068965517241,0.125,0.20606060606060606,0.738
cosine,14,100,10,nonadjusted,3.6081818799236487,0.2529945244956772,0.5061224489795918,0.4940239043824701,0.5,0.752
cosine,86,100,10,adjusted,3.0859423972500277,0.16223798706800327,0.7469879518072289,0.26495726495726496,0.3911671924290221,0.807
pearson,12,100,10,nonadjusted,3.77011756135765,0.15702512054686235,0.4576271186440678,0.24545454545454545,0.31952662721893493,0.77
cosine,97,100,10,nonadjusted,3.373883350023216,0.20563406500497178,0.5450819672131147,0.5095785440613027,0.5267326732673268,0.761
pearson,91,100,10,nonadjusted,3.6220447788331875,0.30603547480472126,0.47692307692307695,0.12350597609561753,0.19620253164556964,0.746
pearson,91,100,10,adjusted,3.0248726451995647,0.2351612438164673,0.7966101694915254,0.3443223443223443,0.4808184143222507,0.797
cosine,9,100,10,adjusted,3.3406110015329835,0.3630586446317248,0.75,0.2518248175182482,0.3770491803278688,0.772
pearson,26,100,10,adjusted,3.3005127406189914,0.17175385468936136,0.717391304347826,0.25882352941176473,0.3804034582132565,0.785
cosine,51,100,10,adjusted,3.1875819782118713,0.18544791359029408,0.8481012658227848,0.24907063197026022,0.38505747126436785,0.786
pearson,73,100,10,adjusted,3.198725771070463,0.30652112426410055,0.7395833333333334,0.26996197718631176,0.39554317548746515,0.783
cosine,19,100,10,adjusted,3.218764932302139,0.14997471505102192,0.7831325301204819,0.25096525096525096,0.3801169590643275,0.788
pearson,39,100,10,nonadjusted,3.674499097695469,0.2852369133207686,0.6119402985074627,0.17672413793103448,0.27424749163879597,0.783
cosine,29,100,10,nonadjusted,3.3927127517211213,0.2185068002191953,0.5582329317269076,0.54296875,0.5504950495049504,0.773
cosine,9,100,10,nonadjusted,3.478618895756456,0.3058851129043888,0.531496062992126,0.5252918287937743,0.5283757338551859,0.759
pearson,96,100,10,adjusted,3.0703088353112764,0.376393033763626,0.7678571428571429,0.33992094861660077,0.47123287671232883,0.807
pearson,96,100,10,nonadjusted,3.5533903700096503,0.2582411356935191,0.640625,0.1443661971830986,0.23563218390804597,0.734
pearson,74,100,10,adjusted,3.129974788726973,0.2260383908941504,0.8076923076923077,0.34146341463414637,0.48,0.818
cosine,90,100,10,nonadjusted,3.4549891367079697,0.2537335565583643,0.49099099099099097,0.4448979591836735,0.4668094218415417,0.751
pearson,15,100,10,nonadjusted,3.781505287884966,0.29868443272409007,0.5196078431372549,0.2245762711864407,0.31360946745562135,0.768
cosine,13,100,10,nonadjusted,3.4197618015091322,0.2780179543669106,0.5531914893617021,0.4744525547445255,0.5108055009823183,0.751
pearson,66,100,10,nonadjusted,3.619153160562506,0.30579457719313746,0.5857142857142857,0.155893536121673,0.24624624624624625,0.749
cosine,60,100,10,nonadjusted,3.3494891557343456,0.36195437638995476,0.6159695817490495,0.5827338129496403,0.5988909426987061,0.783
pearson,69,100,10,adjusted,3.1406227763595145,0.2564076724293274,0.723404255319149,0.265625,0.38857142857142857,0.786
cosine,86,100,10,nonadjusted,3.416394654502797,0.2749023760344057,0.5638297872340425,0.4669603524229075,0.5108433734939759,0.797
pearson,80,100,10,nonadjusted,3.666869144751044,0.22420604012805934,0.6086956521739131,0.1728395061728395,0.2692307692307692,0.772
cosine,56,100,10,adjusted,3.1582706750613627,0.15321894020984245,0.8554216867469879,0.2784313725490196,0.4201183431952663,0.804
pearson,21,100,10,adjusted,3.271098501445114,0.29817343514128936,0.7227722772277227,0.26545454545454544,0.38829787234042556,0.77
cosine,76,100,10,nonadjusted,3.5239948685028515,0.2559917386023406,0.5411255411255411,0.4789272030651341,0.5081300813008129,0.758
pearson,70,100,10,nonadjusted,3.583544584055693,0.27280696893221174,0.5636363636363636,0.11654135338345864,0.19314641744548286,0.741
cosine,42,100,10,adjusted,3.2614466403385665,0.16556607521494296,0.8472222222222222,0.22676579925650558,0.35777126099706746,0.781
pearson,35,100,10,adjusted,3.1248307626267082,0.16518220391201782,0.7523809523809524,0.30859375,0.4376731301939058,0.797
pearson,28,100,10,adjusted,3.2240262306121443,0.1920011062265152,0.7610619469026548,0.315018315018315,0.44559585492227977,0.786
cosine,18,100,10,nonadjusted,3.374020583234686,0.24349041196750643,0.5245901639344263,0.5,0.512,0.756
pearson,60,100,10,adjusted,3.211121613950857,0.23797460411740173,0.8421052631578947,0.3344947735191638,0.47880299251870334,0.791
cosine,17,100,10,adjusted,3.2385895381514245,0.31577243514190423,0.8,0.26459143968871596,0.3976608187134503,0.794
cosine,7,100,10,adjusted,3.298887236284743,0.2582776464856598,0.75,0.302158273381295,0.43076923076923085,0.778
pearson,24,100,10,nonadjusted,3.665749077777094,0.3088914688151173,0.5531914893617021,0.19047619047619047,0.2833787465940054,0.737
cosine,22,100,10,nonadjusted,3.3660295643368214,0.22571250201026327,0.5313807531380753,0.5019762845849802,0.5162601626016261,0.762
pearson,82,100,10,adjusted,3.2295253654853697,0.19080470396810426,0.8202247191011236,0.28076923076923077,0.41833810888252154,0.797
pearson,57,100,10,nonadjusted,3.5993639874287893,0.2628370420214055,0.5352112676056338,0.15019762845849802,0.2345679012345679,0.752
cosine,51,100,10,nonadjusted,3.446618897988602,0.21753007808791266,0.5481171548117155,0.5019157088122606,0.524,0.762
cosine,2,100,10,nonadjusted,3.834663682299593,0.31535241689617344,0.47297297297297297,0.5363984674329502,0.502692998204668,0.723
cosine,34,100,10,nonadjusted,3.4125576363263592,0.25609968490032814,0.5277777777777778,0.5236220472440944,0.5256916996047432,0.76
pearson,32,100,10,nonadjusted,3.6742480823000703,0.19318912988367443,0.525,0.17073170731707318,0.25766871165644173,0.758
cosine,47,100,10,nonadjusted,3.4252920604436596,0.26876013039523433,0.5670995670995671,0.5368852459016393,0.5515789473684211,0.787
pearson,41,100,10,nonadjusted,3.7075685848838362,0.27927115569073885,0.5909090909090909,0.1407942238267148,0.2274052478134111,0.735
cosine,10,100,10,adjusted,3.3283903891815116,0.19733290017660285,0.6464646464646465,0.24427480916030533,0.35457063711911363,0.767
pearson,67,100,10,adjusted,3.243486993380831,0.1866204121914081,0.845360824742268,0.30036630036630035,0.44324324324324327,0.794
pearson,32,100,10,adjusted,3.0746099078567624,0.22970753599695995,0.7107438016528925,0.35537190082644626,0.47382920110192833,0.809
cosine,45,100,10,adjusted,3.3895707245644333,0.30351998784366974,0.7887323943661971,0.2028985507246377,0.3227665706051873,0.765
cosine,58,100,10,adjusted,3.317167207449838,0.28725228885620685,0.8441558441558441,0.2480916030534351,0.3834808259587021,0.791
cosine,100,100,10,nonadjusted,3.311034783813997,0.37365775315939553,0.5057471264367817,0.5301204819277109,0.5176470588235293,0.754
pearson,7,100,10,nonadjusted,3.906105052257943,0.2205248401859272,0.4881889763779528,0.23574144486692014,0.31794871794871793,0.734
pearson,98,100,10,adjusted,3.0668734140252836,0.1734633073834131,0.8125,0.2943396226415094,0.4321329639889197,0.795
pearson,85,100,10,adjusted,3.083707408332814,0.18799891466165644,0.6881720430107527,0.256,0.37317784256559766,0.785
cosine,67,100,10,adjusted,3.191611638576371,0.15518107371385467,0.7948717948717948,0.23846153846153847,0.36686390532544383,0.786
pearson,10,100,10,adjusted,3.336025917908556,0.221888794809377,0.7155963302752294,0.30708661417322836,0.4297520661157025,0.793
pearson,2,100,10,nonadjusted,4.097346417225053,0.34049419172924317,0.40772532188841204,0.38,0.39337474120082816,0.707
pearson,58,100,10,adjusted,3.0517267516087747,0.3111325851444657,0.7142857142857143,0.3048780487804878,0.42735042735042733,0.799
pearson,45,100,10,adjusted,3.1121687545339793,0.20676883345453378,0.7226890756302521,0.3115942028985507,0.43544303797468353,0.777
cosine,32,100,10,adjusted,3.2233636991259282,0.2677311467456656,0.8484848484848485,0.3010752688172043,0.4444444444444444,0.79
cosine,85,100,10,adjusted,3.330701861572615,0.23477380138190743,0.7464788732394366,0.20075757575757575,0.31641791044776113,0.771
cosine,98,100,10,adjusted,3.1674252504962093,0.1704719893457494,0.7415730337078652,0.264,0.3893805309734513,0.793
cosine,28,100,10,adjusted,3.161748314200798,0.4465674731989925,0.7469879518072289,0.2551440329218107,0.3803680981595092,0.798
cosine,78,100,10,nonadjusted,3.467287014384211,0.30226510027414927,0.5213675213675214,0.46037735849056605,0.4889779559118237,0.745
cosine,35,100,10,adjusted,3.1947590275297615,0.2951557639708015,0.7654320987654321,0.256198347107438,0.38390092879256965,0.801
pearson,42,100,10,adjusted,3.163367949451013,0.2529294446798329,0.6703296703296703,0.24796747967479674,0.3620178041543027,0.785
cosine,88,100,10,nonadjusted,3.3135565942598624,0.16621336052677493,0.5148936170212766,0.484,0.49896907216494846,0.757
pearson,68,100,10,nonadjusted,3.56373654216384,0.21096295893485387,0.6285714285714286,0.1746031746031746,0.27329192546583847,0.766
pearson,98,100,10,nonadjusted,3.722276279340457,0.209327066159899,0.5909090909090909,0.10441767068273092,0.17747440273037543,0.759
pearson,17,100,10,adjusted,3.1462365665522944,0.26426826750410104,0.7830188679245284,0.3132075471698113,0.44743935309973043,0.795
cosine,60,100,10,adjusted,3.287498379327348,0.3585695485701251,0.8354430379746836,0.24812030075187969,0.38260869565217387,0.787
cosine,54,100,10,nonadjusted,3.438818853355148,0.4614268779966999,0.5864978902953587,0.5225563909774437,0.5526838966202784,0.775
pearson,52,100,10,nonadjusted,3.6113855826268932,0.22003129079696176,0.5,0.14644351464435146,0.22653721682847897,0.761
cosine,82,100,10,adjusted,3.188178456332712,0.15490903156273123,0.7804878048780488,0.23529411764705882,0.3615819209039548,0.774
cosine,7,100,10,nonadjusted,3.4247400351452457,0.36100586383580835,0.528,0.5409836065573771,0.5344129554655871,0.77
cosine,27,100,10,nonadjusted,3.3589435244337826,0.16490614655648053,0.5892857142857143,0.49070631970260226,0.5354969574036512,0.771
pearson,21,100,10,nonadjusted,3.544789845334132,0.3307454710306287,0.7159090909090909,0.23863636363636365,0.35795454545454547,0.774
pearson,44,100,10,nonadjusted,3.548829375576954,0.32557374295940333,0.5697674418604651,0.19066147859922178,0.2857142857142857,0.755
cosine,42,100,10,nonadjusted,3.438670337153166,0.27513905786412846,0.5550847457627118,0.5077519379844961,0.5303643724696355,0.768
pearson,37,100,10,nonadjusted,3.576778782764631,0.3153972532611435,0.6506024096385542,0.20689655172413793,0.313953488372093,0.764
cosine,31,100,10,nonadjusted,3.411529373648586,0.17760776147068283,0.5271966527196653,0.5080645161290323,0.5174537987679673,0.765
cosine,49,100,10,nonadjusted,3.4373756785092633,0.25524670644753705,0.515748031496063,0.5019157088122606,0.5087378640776699,0.747
pearson,3,100,10,adjusted,3.499191678905343,0.18714259058712568,0.5766423357664233,0.33905579399141633,0.427027027027027,0.788
cosine,96,100,10,adjusted,3.232750408478142,0.22884748968960794,0.8026315789473685,0.25630252100840334,0.38853503184713367,0.808
pearson,59,100,10,nonadjusted,3.610154246917072,0.16909415304027808,0.5757575757575758,0.14022140221402213,0.22551928783382788,0.739
cosine,65,100,10,nonadjusted,3.3469353281911074,0.26727161492505375,0.5857740585774058,0.4861111111111111,0.5313092979127134,0.753
pearson,63,100,10,nonadjusted,3.6697980734185682,0.20190660912022595,0.6290322580645161,0.15,0.24223602484472045,0.756
cosine,69,100,10,adjusted,3.198390090440321,0.19674919873984326,0.6842105263157895,0.2047244094488189,0.3151515151515151,0.774
cosine,95,100,10,nonadjusted,3.308860490174394,0.17276519111172625,0.562015503875969,0.5598455598455598,0.5609284332688588,0.773
cosine,74,100,10,adjusted,3.09025361911822,0.23382570346055223,0.7831325301204819,0.2529182879377432,0.38235294117647056,0.79
pearson,93,100,10,nonadjusted,3.6547009980113274,0.1954207157254133,0.6271186440677966,0.15879828326180256,0.2534246575342466,0.782
cosine,16,100,10,nonadjusted,3.449253254451178,0.21398822630964814,0.5369649805447471,0.5411764705882353,0.5390625,0.764
pearson,10,100,10,nonadjusted,3.8405293436146217,0.2312286986998537,0.5263157894736842,0.23076923076923078,0.32085561497326204,0.746
pearson,75,100,10,nonadjusted,3.632293281571262,0.2721884926898863,0.6666666666666666,0.15441176470588236,0.2507462686567164,0.749
cosine,73,100,10,nonadjusted,3.3326534861296517,0.32264765503096227,0.5758928571428571,0.5222672064777328,0.5477707006369427,0.787
cosine,21,100,10,adjusted,3.1109684412414182,0.24800594704972487,0.75,0.319672131147541,0.4482758620689655,0.808
pearson,85,100,10,nonadjusted,3.686835361945326,0.2564353421358643,0.5964912280701754,0.12099644128113879,0.20118343195266272,0.73
pearson,56,100,10,adjusted,3.1568705854090844,0.1661533060176171,0.7181818181818181,0.32916666666666666,0.4514285714285714,0.808
cosine,83,100,10,nonadjusted,3.4500005018798108,0.30080643546978086,0.5420560747663551,0.44787644787644787,0.49048625792811834,0.759
pearson,100,100,10,nonadjusted,3.4572062060452886,0.2361953020849621,0.8103448275862069,0.1709090909090909,0.2822822822822823,0.761
cosine,91,100,10,adjusted,3.1076576840507633,0.21412271507341119,0.7865168539325843,0.30042918454935624,0.4347826086956522,0.818
pearson,4,100,10,adjusted,3.424544023697041,0.13400175644135706,0.5648854961832062,0.29133858267716534,0.38441558441558443,0.763
pearson,9,100,10,nonadjusted,3.7640351769396974,0.36737753906000964,0.5390625,0.28870292887029286,0.37602179836512256,0.771
pearson,51,100,10,adjusted,3.079539957101705,0.30990692935604425,0.7787610619469026,0.3295880149812734,0.46315789473684205,0.796
cosine,26,100,10,adjusted,3.1408486440033507,0.1731286055528273,0.7553191489361702,0.2679245283018868,0.3955431754874652,0.783
pearson,19,100,10,adjusted,3.2276502727781695,0.1190701524313487,0.7589285714285714,0.3413654618473896,0.4709141274238227,0.809
cosine,73,100,10,adjusted,3.156834738979719,0.14439745663721681,0.7333333333333333,0.22267206477732793,0.3416149068322981,0.788
pearson,79,100,10,adjusted,3.1096384630672764,0.20533845818699797,0.7545454545454545,0.32421875,0.45355191256830607,0.8
cosine,58,100,10,nonadjusted,3.3750481177403167,0.26889100875863625,0.5271966527196653,0.490272373540856,0.5080645161290323,0.756
pearson,64,100,10,adjusted,3.253773369275168,0.28389352714430766,0.7876106194690266,0.33969465648854963,0.4746666666666667,0.803
cosine,13,100,10,adjusted,3.2433069423351015,0.2784330911770627,0.7938144329896907,0.3142857142857143,0.45029239766081863,0.812
pearson,48,100,10,nonadjusted,3.7248946981706865,0.27609271844770206,0.6461538461538462,0.15613382899628253,0.251497005988024,0.75
cosine,46,100,10,adjusted,3.307561576849218,0.2621562077889309,0.7804878048780488,0.23272727272727273,0.3585434173669468,0.771
pearson,31,100,10,adjusted,3.168399348326845,0.18021808252076227,0.7327586206896551,0.3046594982078853,0.430379746835443,0.775
cosine,84,100,10,nonadjusted,3.5084680154719323,0.24637411360621725,0.4979919678714859,0.5061224489795918,0.5020242914979757,0.754
pearson,82,100,10,nonadjusted,3.685133627608014,0.29805125349097056,0.5964912280701754,0.13333333333333333,0.21794871794871795,0.756
cosine,74,100,10,nonadjusted,3.4169324001226977,0.2701485698144284,0.5603112840466926,0.5106382978723404,0.5343228200371057,0.749
pearson,72,100,10,nonadjusted,3.6477711979773644,0.2535519129972364,0.6229508196721312,0.14615384615384616,0.2367601246105919,0.755
pearson,86,100,10,adjusted,3.237499087459419,0.2328346398634319,0.7452830188679245,0.30268199233716475,0.43051771117166204,0.791
pearson,17,100,10,nonadjusted,3.735467036259012,0.23696763073920868,0.5148514851485149,0.20233463035019456,0.2905027932960894,0.746
cosine,11,100,10,nonadjusted,3.4103067421504347,0.24747263323514712,0.5587044534412956,0.5287356321839081,0.5433070866141732,0.768
pearson,94,100,10,nonadjusted,3.664656922284577,0.34202156176479387,0.5208333333333334,0.10330578512396695,0.1724137931034483,0.76
cosine,92,100,10,nonadjusted,3.312924728348823,0.33972559599614566,0.545045045045045,0.491869918699187,0.5170940170940171,0.774
cosine,3,100,10,adjusted,3.3367507178301508,0.22000565500677696,0.6846153846153846,0.3212996389891697,0.4373464373464374,0.771
pearson,64,100,10,nonadjusted,3.7316931953214976,0.2743208548957769,0.5352112676056338,0.1391941391941392,0.22093023255813957,0.732
cosine,62,100,10,nonadjusted,3.385362730924946,0.28935634113319164,0.5701754385964912,0.5058365758754864,0.5360824742268041,0.775
pearson,36,100,10,adjusted,3.199109965475693,0.20595736775011053,0.7850467289719626,0.33070866141732286,0.46537396121883656,0.807
cosine,41,100,10,adjusted,3.243719451924045,0.290016778913304,0.7432432432432432,0.2140077821011673,0.33232628398791536,0.779
cosine,14,100,10,adjusted,3.3276384810914683,0.30818898119315585,0.7870370370370371,0.3159851301115242,0.4509283819628647,0.793
pearson,63,100,10,adjusted,3.1196189749730676,0.11127121687099686,0.7647058823529411,0.2815884476534296,0.41160949868073876,0.777
pearson,81,100,10,adjusted,3.16507155174497,0.3108319122968709,0.7068965517241379,0.30597014925373134,0.42708333333333326,0.78
cosine,4,100,10,adjusted,3.3404742316321387,0.1936239152782017,0.6495726495726496,0.2846441947565543,0.39583333333333337,0.768
pearson,5,100,10,nonadjusted,3.993691394838783,0.2260781695758698,0.48299319727891155,0.26296296296296295,0.3405275779376499,0.725
pearson,95,100,10,adjusted,3.093322805748471,0.2779100652403972,0.6888888888888889,0.2616033755274262,0.37920489296636084,0.797
pearson,88,100,10,adjusted,3.124937421774683,0.26493349259945803,0.7213114754098361,0.3464566929133858,0.46808510638297873,0.8
pearson,77,100,10,adjusted,3.2503397250767407,0.18448905981722624,0.794392523364486,0.31716417910447764,0.4533333333333333,0.795
cosine,48,100,10,adjusted,3.250690900095703,0.1664159749576918,0.7974683544303798,0.24609375,0.3761194029850746,0.791
pearson,22,100,10,adjusted,3.24387686642618,0.2572095980223008,0.7222222222222222,0.2815884476534296,0.40519480519480516,0.771
cosine,55,100,10,adjusted,3.3276149834341284,0.328735669450865,0.7831325301204819,0.2559055118110236,0.3857566765578635,0.793
cosine,99,100,10,nonadjusted,3.340489030129105,0.1992406324695754,0.5738396624472574,0.5151515151515151,0.5429141716566865,0.771
pearson,92,100,10,adjusted,3.120277008319321,0.22058323321063297,0.7340425531914894,0.2839506172839506,0.40949554896142437,0.801
cosine,69,100,10,nonadjusted,3.50038278594731,0.1935176581587183,0.5482625482625483,0.5338345864661654,0.540952380952381,0.759
pearson,89,100,10,nonadjusted,3.6425694022495927,0.24583227957750156,0.5932203389830508,0.12544802867383512,0.20710059171597633,0.732
pearson,79,100,10,nonadjusted,3.629609860339471,0.20097042129877463,0.5882352941176471,0.15873015873015872,0.25,0.76
cosine,36,100,10,nonadjusted,3.550441183437467,0.08311308654819523,0.5530973451327433,0.4681647940074906,0.5070993914807302,0.757
pearson,30,100,10,nonadjusted,3.760407576189138,0.23061801470206325,0.6931818181818182,0.22676579925650558,0.34173669467787116,0.765
pearson,38,100,10,adjusted,3.071988804543042,0.15301245508726485,0.7641509433962265,0.30566037735849055,0.4366576819407008,0.791
cosine,52,100,10,adjusted,3.1882268538915133,0.2974730181669669,0.7608695652173914,0.25547445255474455,0.38251366120218583,0.774
pearson,25,100,10,adjusted,3.1263021908367343,0.21970932048664496,0.7475728155339806,0.30078125,0.4289693593314763,0.795
cosine,45,100,10,nonadjusted,3.3963528006161328,0.35394838455119626,0.5823754789272031,0.5428571428571428,0.5619223659889095,0.763
pearson,43,100,10,nonadjusted,3.638249765481343,0.15907386911890029,0.55,0.16793893129770993,0.2573099415204678,0.746
pearson,26,100,10,nonadjusted,3.7274006625019447,0.36345211911552866,0.6,0.19672131147540983,0.2962962962962963,0.772
cosine,20,100,10,nonadjusted,3.3830065037048187,0.2789735313629244,0.5683760683760684,0.5495867768595041,0.5588235294117646,0.79
pearson,70,100,10,adjusted,3.160580143221458,0.20335311645391654,0.8090909090909091,0.3248175182481752,0.46354166666666663,0.794
pearson,55,100,10,nonadjusted,3.5015340422454515,0.2039186616082262,0.6,0.11811023622047244,0.19736842105263158,0.756
cosine,53,100,10,nonadjusted,3.2700874409955603,0.2833779775225427,0.5512820512820513,0.5560344827586207,0.5536480686695279,0.792
