method,n,size,repeats,adjusted,mmae,std,prec,rec,f1,acc
cosine,52,100,10,nonadjusted,3.296651508659653,0.21001269414212487,0.5854700854700855,0.4756944444444444,0.5249042145593871,0.752
cosine,98,100,10,nonadjusted,3.4083235884038126,0.250275741826633,0.5887850467289719,0.4684014869888476,0.5217391304347826,0.769
pearson,68,100,10,adjusted,3.291415277800445,0.25749923278261766,0.7927927927927928,0.3188405797101449,0.4547803617571059,0.789
cosine,68,100,10,nonadjusted,3.5061228525597246,0.3932267881876734,0.5294117647058824,0.45652173913043476,0.49027237354085607,0.738
pearson,75,100,10,adjusted,3.0702141275828905,0.23030567538941646,0.7657657657657657,0.31716417910447764,0.44854881266490765,0.791
pearson,88,100,10,nonadjusted,3.6561029531919558,0.27000578449861745,0.6458333333333334,0.11397058823529412,0.19374999999999998,0.742
pearson,20,100,10,adjusted,3.3393609212072617,0.25477365124406315,0.6666666666666666,0.29411764705882354,0.40816326530612246,0.768
cosine,57,100,10,adjusted,3.3047488433053234,0.2092987001893741,0.8157894736842105,0.2246376811594203,0.3522727272727273,0.772
pearson,78,100,10,nonadjusted,3.56168014157898,0.2103250769522689,0.625,0.15625,0.25,0.76
pearson,90,100,10,adjusted,3.1471852926706374,0.24033446258860397,0.8240740740740741,0.31010452961672474,0.4506329113924051,0.783
cosine,8,100,10,adjusted,3.2078802744306367,0.21446103619794812,0.7,0.2723735408560311,0.39215686274509803,0.783
pearson,4,100,10,nonadjusted,4.090315337660611,0.2411531411121523,0.5,0.30120481927710846,0.3759398496240602,0.751
cosine,50,100,10,adjusted,3.3185302761979516,0.25489763077156097,0.7906976744186046,0.27309236947791166,0.40597014925373137,0.801
pearson,27,100,10,adjusted,3.305694879834463,0.2730703913216207,0.7604166666666666,0.28076923076923077,0.4101123595505618,0.79
cosine,18,100,10,adjusted,3.1287020716147955,0.2868109610940599,0.7843137254901961,0.31007751937984496,0.4444444444444444,0.8
pearson,72,100,10,adjusted,3.227845615927284,0.1868314775456376,0.6792452830188679,0.2706766917293233,0.3870967741935484,0.772
cosine,55,100,10,nonadjusted,3.5293096857091877,0.33508299609769077,0.5973451327433629,0.5056179775280899,0.5476673427991886,0.777
cosine,78,100,10,adjusted,3.1305274402551673,0.2614306855338063,0.8045977011494253,0.2723735408560311,0.40697674418604646,0.796
pearson,53,100,10,nonadjusted,3.8311229628138976,0.2797930085782077,0.5797101449275363,0.15873015873015872,0.24922118380062303,0.759
cosine,6,100,10,nonadjusted,3.6547571284512834,0.27079239460761184,0.5096525096525096,0.4835164835164835,0.4962406015037594,0.732
cosine,26,100,10,nonadjusted,3.4305734168448545,0.281255363916636,0.51171875,0.5368852459016393,0.524,0.762
cosine,65,100,10,adjusted,3.2941062464732767,0.2292056701662882,0.7837837837837838,0.22745098039215686,0.35258358662613976,0.787
pearson,20,100,10,nonadjusted,3.7239846232164133,0.33845944816397633,0.6060606060606061,0.21818181818181817,0.32085561497326204,0.746
pearson,12,100,10,adjusted,3.322679656830487,0.3030887830541702,0.6796875,0.32222222222222224,0.43718592964824127,0.776
pearson,45,100,10,nonadjusted,3.7264682762751193,0.27903964275397986,0.5423728813559322,0.12167300380228137,0.19875776397515527,0.742
cosine,43,100,10,nonadjusted,3.4519619252991776,0.2240186087090042,0.5973451327433629,0.47703180212014135,0.5304518664047152,0.761
pearson,36,100,10,nonadjusted,3.6304880833057984,0.32241361268229085,0.5698924731182796,0.20703125,0.3037249283667622,0.757
pearson,47,100,10,adjusted,3.093443400462261,0.1435843778042289,0.7787610619469026,0.32592592592592595,0.4595300261096607,0.793
cosine,30,100,10,nonadjusted,3.123951068679351,0.06645291308358475,0.569672131147541,0.5205992509363296,0.5440313111545988,0.767
cosine,30,100,10,adjusted,3.1539867591777186,0.1824584366097648,0.7362637362637363,0.2637795275590551,0.3884057971014493,0.789
